enriching,13
development,1665
loves,5
alongside,21
peers,44
enjoyed,34
meeting,222
bonding,3
classmates,35
share,567
hoping,15
necessary,186
skills,229
connections,137
deeply,30
integrated,78
achieving,27
hopes,84
ambassadorship,1
position,284
encourage,83
women,298
pursue,73
woman,12
studying,129
minority,15
group,1605
male,11
often,321
overshadow,1
enter,195
stem,96
bring,160
perspectives,46
exist,236
male-dominated,2
spaces,354
much,586
provide,1085
additional,322
approaches,204
problems,1672
considered,180
exposure,25
become,511
involved,747
advancement,44
number,2900
ambitions,2
commitments,6
stressful,1
shared,99
likes,27
de-stress,1
fun,236
family,920
friends,88
outside,673
cooking,9
baking,5
find,1661
extremely,70
therapeutic,7
rewarding,26
food,136
something,259
connects,28
types,226
people,2144
brings,64
different,1051
cultures,21
together,543
showing,122
appreciation,15
towards,164
making,382
meals,6
delicious,1
treats,10
spring,286
quarter,278
begins,44
means,262
shao’s,1
nears,1
second,509
begin,284
soon,91
wants,67
gaining,18
applying,155
practical,187
setting,174
acquire,9
enough,205
knowledge,377
eventually,56
able,292
significant,195
contributions,190
establish,33
immensely,4
passionate,46
karen,28
phan,10
culture,89
collaboration,330
leads,102
recently,284
researchers,728
developed,381
hybrid,76
human-machine,5
framework,309
complement,30
human,343
expertise,373
chatbots,24
answer,362
tax,12
questions,487
algorithms,3961
drive,246
autonomous,188
vehicles,58
dish,21
artificial,191
intelligence,232
undergirds,1
aspects,170
daily,82
creating,177
smarter,18
accurate,85
requires,186
approach,498
published,252
month,480
proceedings,504
academy,128
mathematical,392
performance,474
combining,91
algorithmic,152
predictions,42
confidence,34
scores,120
seeds,6
social,1934
planted,9
decades,47
ago,462
padhraic,75
smyth,126
chancellor’s,130
mark,286
steyvers,9
cognitive,129
left,354
stand,14
hall,1585
steve,65
zylius,8
nice,151
there’s,80
lot,278
activity,116
whose,331
supported,95
qualcomm,21
award,1250
attend,111
talks,256
go,504
fact,301
periodically,12
early,173
2000s,1
we’d,9
chat,46
coffee,35
projects,1935
speak,48
languages,230
we’re,173
just,814
emphasizes,13
natural,247
overlap,37
foundation,863
nsf,363
put,196
call,263
related,628
humans,55
two,2488
proposals,32
funded,140
2019,2212
focuses,190
algorithm,2022
exploring,141
balance,43
accuracy,98
perceived,13
autonomy,12
assessment,61
wild,8
led,139
pnas,3
paper,2230
bayesian,154
modeling,268
human-ai,3
complementarity,2
co-authored,43
along,366
heliodoro,1
tejeda,1
gavin,4
kerrigan,3
hpi,1
grants,360
papers,345
worked,200
probabilities,34
via,464
confusion,8
matrices,33
calibration,15
appearing,37
thirty-fifth,2
conference,1515
neural,168
processing,541
neurips,2
2021,1818
disi,1
ji,34
robby,1
logan,15
blackbox,3
classifiers,18
aaai,11
line,743
larger,237
six,146
markelle,4
kelly,24
last,634
received,412
fellowship,255
steckler,47
responsible,91
ethical,49
accessible,153
technology,1191
create,760
awarded,294
law,138
society,235
helping,164
facilitate,43
explores,68
machines,133
currently,260
investigating,30
understand,270
strengths,19
weaknesses,12
better,598
delegate,1
tasks,196
theories,37
side,261
problem,2232
incorporate,55
ideas,230
solutions,569
resulting,221
cross-disciplinary,6
experiments,154
findings,66
founded,38
nuanced,4
perspective,91
experts,85
agrees,30
little,119
bit,208
averse,1
getting,158
loop,273
realize,38
although,217
tested,67
labs,543
decade,63
without,568
attracting,11
attention,97
widely,40
applied,312
real,292
involving,137
consequence,174
kinds,102
interesting,226
discussions,61
used,1258
responsibly,2
shine,15
irvine’s,32
chemistry,59
nation’s,7
report’s,9
online,489
today,209
nine,57
marking,4
leading,174
locations,83
within,693
biology,110
12th,170
32nd,77
business,575
fully,104
employed,15
mba,8
25th,158
16th,146
37th,30
economics,38
17th,84
38th,24
full-time,41
19th,96
44th,13
31st,52
20th,135
doctorate-granting,1
institutions,60
120,87
master’s,87
6,1583
000,420
engaged,40
scholarship,120
granted,26
845,3
289,30
read,915
full,481
story,202
deep,243
advance,118
theory,1479
compression,130
28,588
videos,125
80,274
consumer,45
internet,439
traffic,125
even,621
smallest,239
improvements,45
dramatically,10
ability,127
store,198
speculated,1
networks,1002
ultimately,43
attempts,24
proved,50
successful,108
stephan,46
mandt,73
assistant,369
forefront,12
pioneering,22
using,2174
compress,24
survey,219
titled,110
introduction,237
undergoing,5
peer,37
review,365
collaborators,127
scientific,253
international,1299
representations,93
iclr,2
globally,13
renowned,18
advances,170
fundamental,149
introduces,70
general-purpose,12
lossless,12
understanding,289
feasibility,22
empirical,59
sandwich,17
bounds,575
rate-distortion,6
function,638
yibo,3
yang,78
quantify,13
hardness,86
compressing,16
images,214
you’ve,16
ever,77
paid,23
file,1546
size,570
jpeg,23
notice,141
certain,390
take,617
storage,170
others,326
dimensions,294
explains,296
turns,106
inherent,10
compressibility,1
type,495
quantity,46
called,443
beat,15
theoretical,249
limit,95
implied,9
therefore,150
knowing,38
compressed,46
assess,27
simple,624
distributions,80
establishing,11
general,485
especially,190
interest,226
move,276
closer,58
developing,319
estimate,76
potentially,38
high-dimensional,37
voice,43
recordings,6
see,1128
sketched,2
actually,195
ranging,48
speech,146
spectrograms,1
particle,88
physics,787
posed,12
insurmountable,1
computation,451
challenge,146
previously,233
known,499
method,796
1970s,3
still,412
quite,136
solved,216
hope,141
opens,15
possibilities,46
future,742
hbo’s,1
television,12
series,842
silicon,36
valley,76
hackers,30
develops,31
fundamentally,12
fiction,31
far,182
reality,140
recent,334
anji,1
liu,125
ucla,97
liu’s,2
advisor,88
guy,25
van,230
den,4
broeck,1
contributed,20
probabilistic,107
circuits,53
idea,300
similar,486
morse,1
code,1201
abbreviate,2
frequent,12
letters,107
e,9682
single,394
dit,1
rare,38
three,1035
dits,1
optimally,34
representation,222
message,275
key,726
hence,61
reliably,8
predict,70
frequently,51
symbol,36
occurs,58
count,140
complicated,112
need,1037
predictive,33
models,679
employs,23
popular,64
architectures,120
convolutional,9
uses,560
niche,9
pcs,5
accelerate,12
relevant,105
computations,32
play,257
role,272
result,503
pc-based,1
de,507
runs,100
5-20,1
times,566
faster,273
bitrates,1
example,1098
curiosity-driven,1
culminate,1
surprising,19
unforeseeable,1
never,117
discovered,42
otherwise,155
state,545
pandemic,88
forecasting,8
16,1016
covid,59
consortium,18
designed,161
strengthen,25
response,237
outbreaks,4
four,473
devoted,14
improving,186
coronavirus,594
detection,184
virus,20
transmission,69
behavior,223
mitigation,21
strategies,100
behavioral,55
considerations,18
covid-19,153
forecasts,19
scenarios,35
analysis,837
inputs,54
multiple,450
sources,114
reliable,93
timely,48
effective,142
equally,95
modelling,24
analyses,35
makers,18
guide,151
right,509
article,880
cdph,5
awards,399
9,1110
teams,212
focused,217
innovative,117
launched,43
insights,59
pandemic-related,1
decision,133
areas,1295
focus,321
driven,49
priorities,26
set,2384
deeper,19
matters,353
selected,261
challenges,363
risk,61
black,264
populations,40
effectiveness,30
k-12,10
disparities,25
vaccination,1
